ref_key	running_id	citation	type	authors	year	title	links	sec	data_type	data_subtype	pattern_type	pattern_subtype	alg_name	algorithm	encoding	notes	mentions	html_ref	bib_string	flnk
rosvall_multilevel_2011	149	Rosvall and Bergstrom (2011)	article	Martin Rosvall and Carl T. Bergstrom	2011	Multilevel compression of random walks on networks reveals hierarchical organization in large integrated systems	<a href='https://doi.org/10.1371/journal.pone.0018209'>doi:10.1371/journal.pone.0018209</a>	6.4	graphs	unlabelled	block	hierarchical flow-based node-groups				Extending the <alg>Map Equation</alg> approach to take identify hierarchical connectivity structure.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Rosvall, Martin and Carl&nbsp;T. Bergstrom</span> (<span class='bib-block bib-when'>2011</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Multilevel compression of random walks on networks reveals hierarchical organization in large integrated systems.</span>
<em><span class='bibtex-protected'>PLOS</span> <span class='bibtex-protected'>ONE</span></em>, 6(4):e18209.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1371/journal.pone.0018209'>doi:10.1371/journal.pone.0018209</a>.</span></span>"	"@article{rosvall_multilevel_2011,
    author = {Rosvall, Martin and Bergstrom, Carl T.},
    title = {Multilevel Compression of Random Walks on Networks Reveals Hierarchical Organization in Large Integrated Systems},
    volume = {6},
    doi = {10.1371/journal.pone.0018209},
    pages = {e18209},
    number = {4},
    journal = {{PLOS} {ONE}},
    year = {2011}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/RosvallB11.pdf", "pdf")
viamontes_esquivel_compression_2011	178	Viamontes Esquivel and Rosvall (2011)	article	Alcides Viamontes Esquivel and Martin Rosvall	2011	Compression of flow can reveal overlapping-module organization in networks	<a href='https://doi.org/10.1103/PhysRevX.1.021025'>doi:10.1103/PhysRevX.1.021025</a>	6.4	graphs	unlabelled	block	overlapping flow-based node-groups				Extending the <alg>Map Equation</alg> approach to allow overlap between groups.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Viamontes&nbsp;Esquivel, Alcides and Martin Rosvall</span> (<span class='bib-block bib-when'>2011</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Compression of flow can reveal overlapping-module organization in networks.</span>
<em>Physical Review X</em>, 1(2):021025.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1103/PhysRevX.1.021025'>doi:10.1103/PhysRevX.1.021025</a>.</span></span>"	"@article{viamontes_esquivel_compression_2011,
    author = {Viamontes Esquivel, Alcides and Rosvall, Martin},
    title = {Compression of Flow Can Reveal Overlapping-Module Organization in Networks},
    volume = {1},
    doi = {10.1103/PhysRevX.1.021025},
    pages = {021025},
    number = {2},
    journal = {Physical Review X},
    year = {2011}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/EsquivelR11.pdf", "pdf")
bohlin_community_2014	29	Bohlin, Edler, Lancichinetti, and Rosvall (2014)	incollection	Ludvig Bohlin, Daniel Edler, Andrea Lancichinetti, and Martin Rosvall	2014	Community detection and visualization of networks with the map equation framework		6.4	graphs	unlabelled	block	flow-based node-groups				Overview of the visual interface and tools of the <alg>Map Equation</alg> framework.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Bohlin, Ludvig et al.</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Community detection and visualization of networks with the map equation framework.</span>
In Ding, Ying et al., editors, <em>Measuring Scholarly Impact: Methods and Practice</em>, pages 3–34.
Springer International Publishing.</span>"	"@incollection{bohlin_community_2014,
    author = {Bohlin, Ludvig and Edler, Daniel and Lancichinetti, Andrea and Rosvall, Martin},
    editor = {Ding, Ying and Rousseau, Ronald and Wolfram, Dietmar},
    title = {Community Detection and Visualization of Networks with the Map Equation Framework},
    pages = {3--34},
    booktitle = {Measuring Scholarly Impact: Methods and Practice},
    publisher = {Springer International Publishing},
    year = {2014}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/BohlinELR14.pdf", "pdf")
de_domenico_identifying_2015	42	De Domenico, Lancichinetti, Arenas, and Rosvall (2015)	article	Manlio De Domenico, Andrea Lancichinetti, Alex Arenas, and Martin Rosvall	2015	Identifying modular flows on multilayer networks reveals highly overlapping organization in interconnected systems	<a href='https://doi.org/10.1103/PhysRevX.5.011027'>doi:10.1103/PhysRevX.5.011027</a>	6.4	graphs	multilayer	block	flow-based node-groups				Extending the <alg>Map Equation</alg> approach to multilayer networks.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>De&nbsp;Domenico, Manlio et al.</span> (<span class='bib-block bib-when'>2015</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Identifying modular flows on multilayer networks reveals highly overlapping organization in interconnected systems.</span>
<em>Physical Review X</em>, 5(1):11027.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1103/PhysRevX.5.011027'>doi:10.1103/PhysRevX.5.011027</a>.</span></span>"	"@article{de_domenico_identifying_2015,
    author = {De Domenico, Manlio and Lancichinetti, Andrea and Arenas, Alex and Rosvall, Martin},
    title = {Identifying Modular Flows on Multilayer Networks Reveals Highly Overlapping Organization in Interconnected Systems},
    volume = {5},
    doi = {10.1103/PhysRevX.5.011027},
    pages = {11027},
    number = {1},
    journal = {Physical Review X},
    year = {2015}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/DeDomenicoLAR15.pdf", "pdf")
edler_infomap_2017	44	Edler et al. (2017)	article	Daniel Edler, Thaís Guedes, Alexander Zizka, Martin Rosvall, and Alexandre Antonelli	2017	Infomap bioregions: interactive mapping of biogeographical regions from species distributions	<a href='https://doi.org/10.1093/sysbio/syw087'>doi:10.1093/sysbio/syw087</a>	6.4	graphs	unlabelled	block	order-varying flow-based node-groups				Applying the <alg>Map Equation</alg> approach to the <app>analysis of ecological communities</app>.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Edler, Daniel, Tha<span class='bibtex-protected'>í</span>s Guedes, et al.</span> (<span class='bib-block bib-when'>2017</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Infomap bioregions: interactive mapping of biogeographical regions from species distributions.</span>
<em>Systematic Biology</em>, 66(2):197–204.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1093/sysbio/syw087'>doi:10.1093/sysbio/syw087</a>.</span></span>"	"@article{edler_infomap_2017,
    author = {Edler, Daniel and Guedes, Tha\'{i}s and Zizka, Alexander and Rosvall, Martin and Antonelli, Alexandre},
    title = {Infomap Bioregions: Interactive Mapping of Biogeographical Regions from Species Distributions},
    volume = {66},
    doi = {10.1093/sysbio/syw087},
    pages = {197--204},
    number = {2},
    journal = {Systematic Biology},
    year = {2017}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/EdlerGZRA16.pdf", "pdf")
edler_mapping_2017	43	Edler, Bohlin, and Rosvall (2017)	article	Daniel Edler, Ludvig Bohlin, and Martin Rosvall	2017	Mapping higher-order network flows in memory and multilayer networks with infomap	<a href='https://doi.org/10.3390/a10040112'>doi:10.3390/a10040112</a>	6.4	graphs	unlabelled	block	flow-based node-groups				Extending the <alg>Map Equation</alg> approach to higher-order network flows.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Edler, Daniel, Ludvig Bohlin, and Martin Rosvall</span> (<span class='bib-block bib-when'>2017</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Mapping higher-order network flows in memory and multilayer networks with infomap.</span>
<em>Algorithms</em>, 10(4):112.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.3390/a10040112'>doi:10.3390/a10040112</a>.</span></span>"	"@article{edler_mapping_2017,
    author = {Edler, Daniel and Bohlin, Ludvig and Rosvall, Martin},
    title = {Mapping Higher-Order Network Flows in Memory and Multilayer Networks with Infomap},
    volume = {10},
    doi = {10.3390/a10040112},
    pages = {112},
    number = {4},
    journal = {Algorithms},
    year = {2017}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/EdlerBR17.pdf", "pdf")
calatayud_exploring_2019	34	Calatayud et al. (2019)	article	Joaquín Calatayud, Rubén Bernardo-Madrid, Magnus Neuman, Alexis Rojas, and Martin Rosvall	2019	Exploring the solution landscape enables more reliable network community detection	<a href='https://doi.org/10.1103/PhysRevE.100.052308'>doi:10.1103/PhysRevE.100.052308</a>	6.4	graphs	unlabelled	block	flow-based node-groups				Exploring the landscape of solutions to the <alg>Map Equation</alg>.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Calatayud, Joaqu<span class='bibtex-protected'>í</span>n et al.</span> (<span class='bib-block bib-when'>2019</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Exploring the solution landscape enables more reliable network community detection.</span>
<em>Physical Review E</em>, 100(5):052308.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1103/PhysRevE.100.052308'>doi:10.1103/PhysRevE.100.052308</a>.</span></span>"	"@article{calatayud_exploring_2019,
    author = {Calatayud, Joaqu\'{i}n and Bernardo-Madrid, Rub\'{e}n and Neuman, Magnus and Rojas, Alexis and Rosvall, Martin},
    title = {Exploring the solution landscape enables more reliable network community detection},
    volume = {100},
    doi = {10.1103/PhysRevE.100.052308},
    pages = {052308},
    number = {5},
    journal = {Physical Review E},
    year = {2019}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/CalatayudBNRR19.pdf", "pdf")
emmons_map_2019	45	Emmons and Mucha (2019)	article	Scott Emmons and Peter J. Mucha	2019	Map equation with metadata: varying the role of attributes in community detection	<a href='https://doi.org/10.1103/PhysRevE.100.022301'>doi:10.1103/PhysRevE.100.022301</a>	6.4	graphs	labelled nodes	block	flow-based node-groups				Extending the <alg>Map Equation</alg> approach to take node labels into account.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Emmons, Scott and Peter&nbsp;J. Mucha</span> (<span class='bib-block bib-when'>2019</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Map equation with metadata: varying the role of attributes in community detection.</span>
<em>Physical Review E</em>, 100(2):022301.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1103/PhysRevE.100.022301'>doi:10.1103/PhysRevE.100.022301</a>.</span></span>"	"@article{emmons_map_2019,
    author = {Emmons, Scott and Mucha, Peter J.},
    title = {Map equation with metadata: Varying the role of attributes in community detection},
    volume = {100},
    doi = {10.1103/PhysRevE.100.022301},
    pages = {022301},
    number = {2},
    journal = {Physical Review E},
    year = {2019}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/EmmonsM19.pdf", "pdf")
blanco_punctuated_2021	24	Blanco et al. (2021)	article	Fernando Blanco, Joaquín Calatayud, David M. Martín-Perea, M. Soledad Domingo, Iris Menéndez, Johannes Müller, Manuel Hernández Fernández, and Juan L. Cantalapiedra	2021	Punctuated ecological equilibrium in mammal communities over evolutionary time scales	<a href='https://doi.org/10.1126/science.abd5110'>doi:10.1126/science.abd5110</a>	6.4	graphs	unlabelled	block	flow-based node-groups				Applying the <alg>Map Equation</alg> approach to the <app>analysis of ecological communities</app>.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Blanco, Fernando et al.</span> (<span class='bib-block bib-when'>2021</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Punctuated ecological equilibrium in mammal communities over evolutionary time scales.</span>
<em>Science</em>, 372(6539):300–303.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1126/science.abd5110'>doi:10.1126/science.abd5110</a>.</span></span>"	"@article{blanco_punctuated_2021,
    author = {Blanco, Fernando and Calatayud, Joaqu\'{i}n and Mart\'{i}n-Perea, David M. and Domingo, M. Soledad and Men\'{e}ndez, Iris and M\'{u}ller, Johannes and Fern\'{a}ndez, Manuel Hern\'{a}ndez and Cantalapiedra, Juan L.},
    title = {Punctuated ecological equilibrium in mammal communities over evolutionary time scales},
    volume = {372},
    doi = {10.1126/science.abd5110},
    pages = {300--303},
    number = {6539},
    journal = {Science},
    year = {2021}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/Blanco+21.pdf", "pdf")
rojas_multiscale_2021	144	Rojas et al. (2021)	article	Alexis Rojas, Joaquín Calatayud, Michał Kowalewski, Magnus Neuman, and Martin Rosvall	2021	A multiscale view of the phanerozoic fossil record reveals the three major biotic transitions	<a href='https://doi.org/10.1038/s42003-021-01805-y'>doi:10.1038/s42003-021-01805-y</a>	6.4	graphs	unlabelled	block	flow-based node-groups				Applying the <alg>Map Equation</alg> approach to the <app>analysis of ecological communities</app>.	p.29:6.4,p.28,p.29	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Rojas, Alexis et al.</span> (<span class='bib-block bib-when'>2021</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>A multiscale view of the phanerozoic fossil record reveals the three major biotic transitions.</span>
<em>Communications Biology</em>, 4(1):1–8.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1038/s42003-021-01805-y'>doi:10.1038/s42003-021-01805-y</a>.</span></span>"	"@article{rojas_multiscale_2021,
    author = {Rojas, Alexis and Calatayud, Joaqu\'{i}n and Kowalewski, Micha\l{} and Neuman, Magnus and Rosvall, Martin},
    title = {A multiscale view of the Phanerozoic fossil record reveals the three major biotic transitions},
    volume = {4},
    doi = {10.1038/s42003-021-01805-y},
    pages = {1--8},
    number = {1},
    journal = {Communications Biology},
    year = {2021}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/RojasCKNR21.pdf", "pdf")
cook_substructure_1994	38	Cook and Holder (1994)	article	Diane J. Cook and Lawrence B. Holder	1994	Substructure discovery using minimum description length and background knowledge		6.5	graphs	directed, node labels, edge labels	substructure	subgraphs	<alg>Subdue</alg>	Bottom-up heuristic search, recursively replacing subgraphs.		Replacing the occurrences of subgraph patterns by a single node, recursively. Patterns are scored individually.	p.30:6.5,p.29,p.30,p.39	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Cook, Diane&nbsp;J. and Lawrence&nbsp;B. Holder</span> (<span class='bib-block bib-when'>1994</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Substructure discovery using minimum description length and background knowledge.</span>
<em>Journal of Artificial Intelligence Research</em>, 1(1):231–255.</span>"	"@article{cook_substructure_1994,
    author = {Cook, Diane J. and Holder, Lawrence B.},
    title = {Substructure Discovery Using Minimum Description Length and Background Knowledge},
    volume = {1},
    pages = {231--255},
    number = {1},
    journal = {Journal of Artificial Intelligence Research},
    year = {1994}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/CookH94.pdf", "pdf")
jonyer_mdl-based_2004	77	Jonyer, Holder, and Cook (2004)	article	Istvan Jonyer, Lawrence B. Holder, and Diane J. Cook	2004	Mdl-based context-free graph grammar induction and applications	<a href='https://doi.org/10.1142/S0218213004001429'>doi:10.1142/S0218213004001429</a>	6.5	graphs	directed, node labels, edge labels	substructure	subgraphs	<alg>SubdueGL</alg>			Presenting <alg>Subdue</alg> in the context of context-free <task>grammar induction</task>.	p.30:6.5,p.29,p.30	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Jonyer, Istvan, Lawrence&nbsp;B. Holder, and Diane&nbsp;J. Cook</span> (<span class='bib-block bib-when'>2004</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Mdl-based context-free graph grammar induction and applications.</span>
<em>International Journal on Artificial Intelligence Tools</em>, 13(1):65–79.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1142/S0218213004001429'>doi:10.1142/S0218213004001429</a>.</span></span>"	"@article{jonyer_mdl-based_2004,
    author = {Jonyer, Istvan and Holder, Lawrence B. and Cook, Diane J.},
    title = {Mdl-based context-free graph grammar induction and applications},
    volume = {13},
    doi = {10.1142/S0218213004001429},
    pages = {65--79},
    number = {1},
    journal = {International Journal on Artificial Intelligence Tools},
    year = {2004}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/JonyerHC03.pdf", "pdf")
ketkar_subdue_2005	80	Ketkar, Holder, and Cook (2005)	inproceedings	Nikhil S. Ketkar, Lawrence B. Holder, and Diane J. Cook	2005	Subdue: compression-based frequent pattern discovery in graph data	<a href='https://doi.org/10.1145/1133905.1133915'>doi:10.1145/1133905.1133915</a>	6.5	graphs	directed, node labels, edge labels	substructure	subgraphs				Presenting <alg>Subdue</alg> anew, with experiments on recent datasets.	p.30:6.5,p.29,p.30	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Ketkar, Nikhil&nbsp;S., Lawrence&nbsp;B. Holder, and Diane&nbsp;J. Cook</span> (<span class='bib-block bib-when'>2005</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Subdue: compression-based frequent pattern discovery in graph data.</span>
In <em>Proceedings of the 1st international workshop on open source data mining: frequent pattern mining implementations, <span class='bibtex-protected'>OSDM</span>'05</em>, 71–76. <span class='bibtex-protected'>ACM</span>.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1145/1133905.1133915'>doi:10.1145/1133905.1133915</a>.</span></span>"	"@inproceedings{ketkar_subdue_2005,
    author = {Ketkar, Nikhil S. and Holder, Lawrence B. and Cook, Diane J.},
    title = {Subdue: compression-based frequent pattern discovery in graph data},
    doi = {10.1145/1133905.1133915},
    pages = {71--76},
    booktitle = {Proceedings of the 1st international workshop on open source data mining: frequent pattern mining implementations, {OSDM}'05},
    publisher = {{ACM}},
    year = {2005}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/KetkarHC05.pdf", "pdf")
bloem_compression-based_2013	25	Bloem (2013)	inproceedings	Peter Bloem	2013	Compression-based inference on graph data		6.5	graphs	undirected, unlabelled	substructure	subgraphs				Comparing <alg>Subdue</alg> to practical compression approaches (GZIP) for computing distances between graphs for machine learning tasks.	p.30:6.5,p.29,p.30	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Bloem, Peter</span> (<span class='bib-block bib-when'>2013</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Compression-based inference on graph data.</span>
In <em>Proceedings of the 22nd annual Belgian-Dutch Conference on Machine Learning, <span class='bibtex-protected'>BENELEARN</span>'13</em>.</span>"	"@inproceedings{bloem_compression-based_2013,
    author = {Bloem, Peter},
    title = {Compression-based inference on graph data},
    booktitle = {Proceedings of the 22nd annual Belgian-Dutch Conference on Machine Learning, {BENELEARN}'13},
    year = {2013}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/Bloem13.pdf", "pdf")
feng_compression-based_2013	51	Feng et al. (2013)	inproceedings	Jing Feng, Xiao He, Nina Hubig, Christian Böhm, and Claudia Plant	2013	Compression-based graph mining exploiting structure primitives	<a href='https://doi.org/10.1109/ICDM.2013.56'>doi:10.1109/ICDM.2013.56</a>	6.5	graphs	undirected, unlabelled	substructure	subgraphs	<alg>CXprime</alg> ,‘Compression-based eXploiting Primitives’		Shannon-Fano, indices over canonically ordered enumerations	Encoding the adjacency matrix of a graph by exploiting basic local structure primitives.	p.30:6.5,p.29,p.30	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Feng, Jing, Xiao He, Nina Hubig, et al.</span> (<span class='bib-block bib-when'>2013</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Compression-based graph mining exploiting structure primitives.</span>
In <em>Proceedings of the 13th <span class='bibtex-protected'>IEEE</span> International Conference on Data Mining, <span class='bibtex-protected'>ICDM</span>'13</em>, 181–190. <span class='bibtex-protected'>IEEE</span> Computer Society.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1109/ICDM.2013.56'>doi:10.1109/ICDM.2013.56</a>.</span></span>"	"@inproceedings{feng_compression-based_2013,
    author = {Feng, Jing and He, Xiao and Hubig, Nina and B\'{o}hm, Christian and Plant, Claudia},
    title = {Compression-Based Graph Mining Exploiting Structure Primitives},
    doi = {10.1109/ICDM.2013.56},
    pages = {181--190},
    booktitle = {Proceedings of the 13th {IEEE} International Conference on Data Mining, {ICDM}'13},
    publisher = {{IEEE} Computer Society},
    year = {2013}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/FengHHBP13.pdf", "pdf")
koutra_vog_2014	92	Koutra, Kang, Vreeken, and Faloutsos (2014)	inproceedings	Danai Koutra, U Kang, Jilles Vreeken, and Christos Faloutsos	2014	VOG: summarizing and understanding large graphs	<a href='https://doi.org/10.1137/1.9781611973440.11'>doi:10.1137/1.9781611973440.11</a>	6.5	graphs	undirected, unlabelled	substructure	subgraphs summary				Conference version, extended to <rkey>koutra_summarizing_2015</rkey>.	p.30:6.5,p.29,p.30	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Koutra, Danai et al.</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'><span class='bibtex-protected'>VOG</span>: summarizing and understanding large graphs.</span>
In <em>Proceedings of the 2014 <span class='bibtex-protected'>SIAM</span> International Conference on Data Mining, <span class='bibtex-protected'>SDM</span>'14</em>, 91–99. <span class='bibtex-protected'>SIAM</span>.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1137/1.9781611973440.11'>doi:10.1137/1.9781611973440.11</a>.</span></span>"	"@inproceedings{koutra_vog_2014,
    author = {Koutra, Danai and Kang, U and Vreeken, Jilles and Faloutsos, Christos},
    title = {{VOG}: Summarizing and Understanding Large Graphs},
    pages = {91--99},
    booktitle = {Proceedings of the 2014 {SIAM} International Conference on Data Mining, {SDM}'14},
    publisher = {{SIAM}},
    year = {2014},
    doi = {10.1137/1.9781611973440.11}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/KoutraKVF14.pdf", "pdf")
koutra_summarizing_2015	93	Koutra, Kang, Vreeken, and Faloutsos (2015)	article	Danai Koutra, U Kang, Jilles Vreeken, and Christos Faloutsos	2015	Summarizing and understanding large graphs		6.5	graphs	undirected, unlabelled	substructure	subgraphs summary	<alg>VoG</alg>	Uses <alg>SlashBurn</alg> to extract candidates (also potentially <alg>CrossAssociation</alg> or <alg>Subdue</alg>), then filters them.	universal code for integers, indices over canonically ordered enumerations	Decomposing a graph into basic global primitives, allowing node overlaps and corrections. Journal version, extending <rkey>koutra_vog_2014</rkey>.	p.30:6.5,p.29,p.30	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Koutra, Danai et al.</span> (<span class='bib-block bib-when'>2015</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Summarizing and understanding large graphs.</span>
<em>Statistical Analysis and Data Mining</em>, 8(3):183–202.</span>"	"@article{koutra_summarizing_2015,
    author = {Koutra, Danai and Kang, U and Vreeken, Jilles and Faloutsos, Christos},
    title = {Summarizing and understanding large graphs},
    volume = {8},
    pages = {183--202},
    number = {3},
    journal = {Statistical Analysis and Data Mining},
    year = {2015}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/KoutraKVF15.pdf", "pdf")
liu_empirical_2015	105	Liu, Shah, and Koutra (2015)	arxiv	Yike Liu, Neil Shah, and Danai Koutra	2015	An empirical comparison of the summarization power of graph clustering methods	<a href='https://arxiv.org/abs/1511.06820'>arXiv:1511.06820</a>	6.5	graphs	undirected, unlabelled	substructure	subgraphs summary				ArXiv version of <rkey>liu_reducing_2016</rkey>.	p.30:6.5,p.29,p.30	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Liu, Yike, Neil Shah, and Danai Koutra</span> (<span class='bib-block bib-when'>2015</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>An empirical comparison of the summarization power of graph clustering methods.</span>
<span class='bib-block bib-lnks'><a href='https://arxiv.org/abs/1511.06820'>arXiv:1511.06820</a>.</span></span>"	"@misc{liu_empirical_2015,
    author = {Liu, Yike and Shah, Neil and Koutra, Danai},
    title = {An Empirical Comparison of the Summarization Power of Graph Clustering Methods},
    year = {2015},
    eprinttype = {arxiv},
    eprint = {1511.06820}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/LiuSK15.pdf", "pdf")
goebl_megs_2016	59	Goebl, Tonch, Böhm, and Plant (2016)	inproceedings	Sebastian Goebl, Annika Tonch, Christian Böhm, and Claudia Plant	2016	MeGS: partitioning meaningful subgraph structures using minimum description length	<a href='https://doi.org/10.1109/ICDM.2016.0108'>doi:10.1109/ICDM.2016.0108</a>	6.5	graphs	undirected, unlabelled	substructure	subgraphs summary	<alg>MeGS</alg> ‘Meaningful subGraph Structures’			Introducing an approach similar to <alg>VoG</alg> but prohibiting overlaps altogether for ease of visualisation and interpretation.	p.30:6.5,p.29,p.30	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Goebl, Sebastian et al.</span> (<span class='bib-block bib-when'>2016</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'><span class='bibtex-protected'>MeGS</span>: partitioning meaningful subgraph structures using minimum description length.</span>
In <em>Proceedings of the 16th <span class='bibtex-protected'>IEEE</span> International Conference on Data Mining, <span class='bibtex-protected'>ICDM</span>'16</em>, 889–894. <span class='bibtex-protected'>IEEE</span> Computer Society.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1109/ICDM.2016.0108'>doi:10.1109/ICDM.2016.0108</a>.</span></span>"	"@inproceedings{goebl_megs_2016,
    author = {Goebl, Sebastian and Tonch, Annika and B\'{o}hm, Christian and Plant, Claudia},
    title = {{MeGS}: Partitioning Meaningful Subgraph Structures Using Minimum Description Length},
    doi = {10.1109/ICDM.2016.0108},
    pages = {889--894},
    booktitle = {Proceedings of the 16th {IEEE} International Conference on Data Mining, {ICDM}'16},
    publisher = {{IEEE} Computer Society},
    year = {2016}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/GoeblTBP16.pdf", "pdf")
liu_reducing_2016	103	Liu, Safavi, and Shah (2016)	inproceedings	Yike Liu, Tara Safavi, and Neil Shah	2016	Reducing million-node graphs to a few structural patterns: a unified approach		6.5	graphs	undirected, unlabelled	substructure	subgraphs summary	<alg>KCBC</alg>, <alg>VoG-Overlap</alg>, <alg>VoG-Contrast</alg>			Comparing the ability of different algorithms (including <alg>KCBC</alg>, <alg>SlashBurn</alg> and <alg>HyCommFIT</alg>) to find useful candidates for <alg>VoG</alg>. Introducing <alg>KCBC</alg> to extract primitives based on k-cores (Giatsidis et al. 2011). Allowing edge overlaps. Limiting corrections for comparison purposes. Conference version of <rkey>liu_empirical_2015</rkey>.	p.30:6.5,p.29,p.30	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Liu, Yike, Tara Safavi, and Neil Shah</span> (<span class='bib-block bib-when'>2016</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Reducing million-node graphs to a few structural patterns: a unified approach.</span>
In <em>Proceedings of the 12th International Workshop on Mining and Learning with Graphs, <span class='bibtex-protected'>MLG</span> @<span class='bibtex-protected'>KDD</span>'16</em>, 8.</span>"	"@inproceedings{liu_reducing_2016,
    author = {Liu, Yike and Safavi, Tara and Shah, Neil},
    title = {Reducing Million-Node Graphs to a Few Structural Patterns: A Unified Approach},
    pages = {8},
    booktitle = {Proceedings of the 12th International Workshop on Mining and Learning with Graphs, {MLG} @{KDD}'16},
    year = {2016}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/LiuSS16.pdf", "pdf")
